RT @NixonLibrary: #FabulousFLOTUSFriday  First Lady Pat Nixon and the President's dog King Timahoe at Casa Pacifica in nearby San Clemente…
RT @ikelib: Dreams Take Flight at Eisenhower! https://t.co/5bbQhaLhwG
RT @NixonLibrary: #OTD 3/1/1973 Prime Minister of Israel Golda Meir, President Nixon, and Dr. Henry Kissinger in the Oval Office. (Image: W…
RT @WhiteHouseHstry: Our current project on Life in the 20th Century White House is adding thousands of behind the scenes images of the Fir…
RT @ikelib: Pre-School Fair https://t.co/DjndtL1pRK
RT @ikelib: https://t.co/BSoV9IceP4
RT @ikelib: The Saint Monica Academy preschool program provides developmentally appropriate activities for your child.		On Tuesday, March 5…
RT @USNatArchives: Col. Percy Wyndham, he of the perfectly pointed beard and mustache, was an Englishman and a #CivilWar veteran  https://t…
RT @ikelib: Congratulations Taylor! https://t.co/Jpx450VBjF
RT @NixonLibrary: #OTD 3/2/69 President Nixon and French President de Gaulle.	Also shown: H. R. Haldeman, John Ehrlichman, Henry Kissinger,…
RT @Bush41Library: President Bush visits with actor Arnold Schwarzenegger, Chairman of the President's Council on Physical Fitness and Spor…
RT @BRInstitute: Be sure to check out the recording of our latest #educator #webinar here! https://t.co/g9PvB0psvC https://t.co/511mJmJTK4
RT @BRInstitute: Be sure to frequently check our #currentevents page for updates on what is happening in the country related to constitutio…
$5 for a $10 #Starbucks eGift Card https://t.co/ZbFdgtcJBz https://t.co/IiSLxFIujk
RT @JFKLibrary: This fall, more than 500 high school students from around Massachusetts participated in the 2018 Election-Year Debate Progr…
All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! Visit at https://t.co/hWf6HbcAoo https://t.co/n8VxyuONm3
All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! Visit at https://t.co/hWf6HbcAoo https://t.co/BZ6GcozyRP
All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! Visit at https://t.co/hWf6HbcAoo https://t.co/PDxwP9sC2T
Who was the first President born outside the contiguous United States? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! FOLLOW US on Twitter and visit at https://t.co/hWf6HbcAoo https://t.co/nldBHEvF4X
Who was the first President to live in the White House? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! FOLLOW US on Twitter and visit at https://t.co/hWf6HbcAoo https://t.co/DsaA1VIf7V
Before the Twelfth Amendment was passed in 1804, how was the Vice President determined? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! FOLLOW US on Twitter and visit at https://t.co/hWf6HbcAoo https://t.co/wlosZfcTFa
Who was the oldest elected President? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! FOLLOW US on Twitter and visit at https://t.co/hWf6HbcAoo https://t.co/Mp8xI3F336
Who was the only unanimously elected President by the Electoral College? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! Visit at https://t.co/hWf6HbcAoo https://t.co/DZWIySl4nN
Who was the only President to serve more than two terms? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! Thanks for FOLLOWING US on Twitter and visit at https://t.co/hWf6HbcAoo https://t.co/TP4TlFPshr
All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! Visit at https://t.co/hWf6HbcAoo https://t.co/F8FZ4y8uIT
Who was the first President to be impeached? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! FOLLOW US on Twitter and visit at https://t.co/hWf6HbcAoo https://t.co/GWjDpeFisd
All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! Visit at https://t.co/hWf6HbcAoo https://t.co/er0PP5gxQK
All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! Visit at https://t.co/hWf6HbcAoo https://t.co/wiGpELUICs
Who was the only President to serve two non-consecutive terms? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! Thanks for the FOLLOW on Twitter and visit at https://t.co/hWf6HbcAoo https://t.co/TKKEyb4L1b
All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! Visit at https://t.co/hWf6HbcAoo https://t.co/2flN3XwskW
Fourteen Presidents served as vice presidents.
Which U.S. President signed the treaty to purchase Alaska from Russia? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! FOLLOW US on Twitter and visit at https://t.co/hWf6HbcAoo https://t.co/7aF8rVIleJ
Who was the first President to appear on TV? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! FOLLOW US on Twitter and visit at https://t.co/hWf6HbcAoo https://t.co/zaj99n6pGd
Who was the first President to appoint an African American to the Supreme Court? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! FOLLOW US on Twitter and visit at https://t.co/hWf6HbcAoo https://t.co/kaq3bA8qSw
All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! Visit at https://t.co/hWf6HbcAoo https://t.co/URiHQ8xYmD
All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! Visit at https://t.co/hWf6HbcAoo https://t.co/oJciv9Yh1g
Who was the first President born outside the contiguous United States? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! FOLLOW US on Twitter and visit at https://t.co/hWf6HbcAoo https://t.co/Lh7q3271zN
Who was the first President to live in the White House? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! FOLLOW US on Twitter and visit at https://t.co/hWf6HbcAoo https://t.co/eadl65bGAz
Before the Twelfth Amendment was passed in 1804, how was the Vice President determined? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! FOLLOW US on Twitter and visit at https://t.co/hWf6HbcAoo https://t.co/NvJD1TjhzJ
Who was the oldest elected President? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! FOLLOW US on Twitter and visit at https://t.co/hWf6HbcAoo https://t.co/w1NEyaaHgf
Who was the only unanimously elected President by the Electoral College? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! Visit at https://t.co/hWf6HbcAoo https://t.co/9cZSMs9Hyq
Who was the only President to serve more than two terms? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! Thanks for FOLLOWING US on Twitter and visit at https://t.co/hWf6HbcAoo https://t.co/0ihJXPVCkB
All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! Visit at https://t.co/hWf6HbcAoo https://t.co/JLss9HvX5i
Who was the first President to be impeached? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! FOLLOW US on Twitter and visit at https://t.co/hWf6HbcAoo https://t.co/p7QiqMmY5v
All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! Visit at https://t.co/hWf6HbcAoo https://t.co/v6xDjVjUZt
George Washington - https://t.co/ciYyTqs2QZ #USPresidents #GeorgeWashington
All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! Visit at https://t.co/hWf6HbcAoo https://t.co/IAeJmEHJ2S
Who was the only President to serve two non-consecutive terms? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! Thanks for the FOLLOW on Twitter and visit at https://t.co/hWf6HbcAoo https://t.co/vxxAfDN6i0
All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! Visit at https://t.co/hWf6HbcAoo https://t.co/Q3DQRA0nyK
Which U.S. President signed the treaty to purchase Alaska from Russia? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! FOLLOW US on Twitter and visit at https://t.co/hWf6HbcAoo https://t.co/12sMqAECsm
Who was the first President to appear on TV? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! FOLLOW US on Twitter and visit at https://t.co/hWf6HbcAoo https://t.co/vJfIhuit2J
Who was the first President to appoint an African American to the Supreme Court? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! FOLLOW US on Twitter and visit at https://t.co/hWf6HbcAoo https://t.co/AiQD1Vjn9f
All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! Visit at https://t.co/hWf6HbcAoo https://t.co/2Sx9tsluUb
All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! Visit at https://t.co/hWf6HbcAoo https://t.co/FfT4vZF6n0
Who was the first President born outside the contiguous United States? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! FOLLOW US on Twitter and visit at https://t.co/hWf6HbcAoo https://t.co/NYKG7183Y7
Who was the first President to live in the White House? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! FOLLOW US on Twitter and visit at https://t.co/hWf6HbcAoo https://t.co/Fz0iwZIgky
Before the Twelfth Amendment was passed in 1804, how was the Vice President determined? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! FOLLOW US on Twitter and visit at https://t.co/hWf6HbcAoo https://t.co/wwnxhMpvAF
Who was the oldest elected President? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! FOLLOW US on Twitter and visit at https://t.co/hWf6HbcAoo https://t.co/l6RUl2sOGI
Who was the only unanimously elected President by the Electoral College? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! Visit at https://t.co/hWf6HbcAoo https://t.co/nski5FYZJJ
Who was the only President to serve more than two terms? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! Thanks for FOLLOWING US on Twitter and visit at https://t.co/hWf6HbcAoo https://t.co/7uIWTWeHZr
Declaration of Independence: A Transcription - https://t.co/qQuWddDe9M
All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! Visit at https://t.co/hWf6HbcAoo https://t.co/QqfId7A8fS
Who was the first President to be impeached? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! FOLLOW US on Twitter and visit at https://t.co/hWf6HbcAoo https://t.co/sxn5c48bgN
All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! Visit at https://t.co/hWf6HbcAoo https://t.co/LEacwOEPyZ
All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! Visit at https://t.co/hWf6HbcAoo https://t.co/71uhAGx8RA
Who was the only President to serve two non-consecutive terms? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! Thanks for the FOLLOW on Twitter and visit at https://t.co/hWf6HbcAoo https://t.co/APvJ1M8siC
RT @BRInstitute: Find out more about the #history of #immigration with this free #voicesofhistory lesson! 	https://t.co/JMs6j3U1e7 https://…
All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! Visit at https://t.co/hWf6HbcAoo https://t.co/Id12FtPdfH
Which U.S. President signed the treaty to purchase Alaska from Russia? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! FOLLOW US on Twitter and visit at https://t.co/hWf6HbcAoo https://t.co/q7dkG6GEks
Who was the first President to appear on TV? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! FOLLOW US on Twitter and visit at https://t.co/hWf6HbcAoo https://t.co/jCj0fDr4Zo
Who was the first President to appoint an African American to the Supreme Court? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! FOLLOW US on Twitter and visit at https://t.co/hWf6HbcAoo https://t.co/a6XuWakB2p
All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! Visit at https://t.co/hWf6HbcAoo https://t.co/eDfibXuQ27
All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! Visit at https://t.co/hWf6HbcAoo https://t.co/wQYPSdMQjw
Who was the first President born outside the contiguous United States? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! FOLLOW US on Twitter and visit at https://t.co/hWf6HbcAoo https://t.co/64YP6LHqwE
Who was the first President to live in the White House? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! FOLLOW US on Twitter and visit at https://t.co/hWf6HbcAoo https://t.co/p0ziIMRqkS
RT @TrumanLibrary: #OTD in 1948, at 2 in the morning, Harry S. Truman delivered his speech upon accepting the nomination of the Democratic…
Before the Twelfth Amendment was passed in 1804, how was the Vice President determined? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! FOLLOW US on Twitter and visit at https://t.co/hWf6HbcAoo https://t.co/5wJRLpJhLU
Fourteen Presidents served as vice presidents.
Who was the oldest elected President? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! FOLLOW US on Twitter and visit at https://t.co/hWf6HbcAoo https://t.co/s0cmHJrugQ
